state,site,sz
weighted_hva_p1,7,0.10395362338250924
weighted_hva_p1,8,-0.06089911664789739
weighted_hva_p1,9,0.10649826921735168
weighted_hva_p1,10,-0.007816504101366608
weighted_hva_p1,11,0.0453320314785006
weighted_hva_p1,12,-0.006928543352307219
weighted_hva_p1,13,0.10651334839304274
weighted_hva_p1,14,-0.061435613051412395
weighted_hva_p1,15,0.1039672297193795
weighted_hva_p1,16,-0.058940797672278174
weighted_hva_p1,17,-0.061776602230910915
weighted_hva_p1,18,0.1052353874815819
weighted_hva_p2,0,0.10771026260588326
weighted_hva_p2,1,-0.007005677049795461
weighted_hva_p2,2,-0.005534929115297509
weighted_hva_p2,3,0.10639265267643158
weighted_hva_p2,4,-0.059000387185105516
weighted_hva_p2,5,0.10174413823436027
weighted_hva_p2,6,-0.058049110185736205
weighted_hva_p2,7,0.1024131209864379
weighted_hva_p2,8,-0.05903894767162252
weighted_hva_p2,9,0.1066083647249983
weighted_hva_p2,10,-0.007315219093482525
weighted_hva_p2,11,0.04439964173328996
weighted_hva_p2,12,-0.0049003070051546645
weighted_hva_p2,13,0.1059875421053356
weighted_hva_p2,14,-0.060029839576923025
weighted_hva_p2,15,0.10179280934635845
weighted_hva_p2,16,-0.05664547789251046
weighted_hva_p2,17,-0.06034801517615829
weighted_hva_p2,18,0.10081937753869138
weighted_hva_p3,0,0.10681054870755205
weighted_hva_p3,1,-0.006880964847176804
weighted_hva_p3,2,-0.004831654241833776
weighted_hva_p3,3,0.10587554297711133
weighted_hva_p3,4,-0.05863780879867293
weighted_hva_p3,5,0.1013281980570369
weighted_hva_p3,6,-0.057381808553343044
weighted_hva_p3,7,0.10197768600052451
weighted_hva_p3,8,-0.05886424387139416
weighted_hva_p3,9,0.10607651028648282
weighted_hva_p3,10,-0.007045902345275488
weighted_hva_p3,11,0.04437706875334666
weighted_hva_p3,12,-0.004932345577468243
weighted_hva_p3,13,0.10588841134564005
weighted_hva_p3,14,-0.05939040436415285
weighted_hva_p3,15,0.10129784803815632
weighted_hva_p3,16,-0.056474354463078524
weighted_hva_p3,17,-0.059701826280075754
weighted_hva_p3,18,0.10050949917662133
weighted_hva_p4,0,0.10548983789817806
weighted_hva_p4,1,-0.00603072615040641
weighted_hva_p4,2,-0.004484253097147225
weighted_hva_p4,3,0.10500742669558155
weighted_hva_p4,4,-0.057975477030435485
weighted_hva_p4,5,0.10040253911946755
weighted_hva_p4,6,-0.05645070371569322
weighted_hva_p4,7,0.10123131773605624
weighted_hva_p4,8,-0.05796941334967523
weighted_hva_p4,9,0.1049604333528581
weighted_hva_p4,10,-0.006601346581102122
weighted_hva_p4,11,0.04444515993941426
weighted_hva_p4,12,-0.00434479866799047
weighted_hva_p4,13,0.10499527602478081
weighted_hva_p4,14,-0.058531083741781384
weighted_hva_p4,15,0.10036298870804844
weighted_hva_p4,16,-0.05568604831625821
weighted_hva_p4,17,-0.058844806100245006
weighted_hva_p4,18,0.10002367727635023
